marker-color,marker-size,marker-symbol,NummerRijksmonument,NaamRijksmonument,HoofdCategorieMS,GEMEENTE,PROVINCIE,PLAATS,SITUERING,Adres,POSTCODE,STATUS,long,lat
#80ff80,small,,45904,,Archeologie,Dongeradeel,Friesland,Anjum,,,9133 ZA,beschermd,6.137693642436,53.373614449179
#80ff80,small,,45905,,Archeologie,Dongeradeel,Friesland,Anjum,,,9133 ZA,beschermd,6.131409468489,53.370796129768
#80ff80,small,,45906,,Archeologie,Dongeradeel,Friesland,Anjum,,,9133 ZA,beschermd,6.132831615089,53.365297231001
#80ff80,small,,45907,,Archeologie,Dongeradeel,Friesland,Ezumazijl,,,9100 AA,beschermd,6.144455645348,53.361702317424
#80ff80,small,,45908,,Archeologie,Dongeradeel,Friesland,Ezumazijl,,,9100 AA,beschermd,6.143618529902,53.36107860335
#80ff80,small,,45909,,Archeologie,Dongeradeel,Friesland,Anjum,,,9130 AA,beschermd,6.136416665093,53.344284905613
#80ff80,small,,45910,,Archeologie,Dongeradeel,Friesland,Ee,,,9130 AA,beschermd,6.123914085758,53.338422745881
#80ff80,small,,45911,,Archeologie,Dongeradeel,Friesland,Ee,,,9130 AA,beschermd,6.110864600498,53.338223449723
#80ff80,small,,45912,,Archeologie,Dongeradeel,Friesland,Engwierum,,,9132 ZA,beschermd,6.131952302066,53.325766519567
#80ff80,small,,45913,,Archeologie,Dongeradeel,Friesland,Engwierum,,,9132 ZA,beschermd,6.136879690781,53.319131497614
#80ff80,small,,45914,,Archeologie,Dongeradeel,Friesland,Engwierum,,,9132 ZA,beschermd,6.105366627797,53.328120766949
#80ff80,small,,45915,,Archeologie,Dongeradeel,Friesland,Ee,,,9130 AA,beschermd,6.096375025496,53.334437045995
#80ff80,small,,45916,,Archeologie,Dongeradeel,Friesland,Morra,,,9100 AA,beschermd,6.073777804128,53.36613401893
#80ff80,small,,45918,,Archeologie,Dongeradeel,Friesland,Ee,,,9130 AA,beschermd,6.088749950184,53.32987222607
#80ff80,small,,45919,,Archeologie,Dongeradeel,Friesland,Ee,,,9130 AA,beschermd,6.085108657317,53.326541828937
#80ff80,small,,45920,,Archeologie,Dongeradeel,Friesland,Oosternijkerk,,,9137 ZA,beschermd,6.071520213895,53.38853834467
#80ff80,small,,45921,,Archeologie,Dongeradeel,Friesland,Paesens,,,9136 ZA,beschermd,6.091759638906,53.397325976722
#80ff80,small,,45922,,Archeologie,Dongeradeel,Friesland,Lioessens,,,9134 ZA,beschermd,6.089690692462,53.385711083136
#80ff80,small,,45923,,Archeologie,Dongeradeel,Friesland,Paesens,,,9136 ZA,beschermd,6.096900499678,53.395471754689
#80ff80,small,,45924,,Archeologie,Dongeradeel,Friesland,Engwierum,,,9132 ZA,beschermd,6.125929926695,53.329910074028
#80ff80,small,,45973,,Archeologie,Loppersum,Groningen,Stedum,,,9920 AA,beschermd,6.696181078734,53.322195415987
#80ff80,small,,45974,,Archeologie,Loppersum,Groningen,Stedum,,,9920 AA,beschermd,6.688467739337,53.33166980045
#80ff80,small,,45975,,Archeologie,Loppersum,Groningen,Westeremden,,,9922 ZA,beschermd,6.711702658004,53.343772149701
#80ff80,small,,45976,,Archeologie,Loppersum,Groningen,Stedum,,,9920 AA,beschermd,6.713801657436,53.368523964552
#80ff80,small,,45977,,Archeologie,Loppersum,Groningen,Stedum,,,9920 AA,beschermd,6.714672950722,53.367058593664
#80ff80,small,,45978,,Archeologie,Loppersum,Groningen,Stedum,,,9920 AA,beschermd,6.711700426662,53.333446971235
#80ff80,small,,45979,,Archeologie,Loppersum,Groningen,Stedum,,,9920 AA,beschermd,6.696404349118,53.312748391463
#80ff80,small,,45980,,Archeologie,Loppersum,Groningen,Lutjewijtwerd,,,9914 ZA,beschermd,6.696192142371,53.310207577319
#80ff80,small,,45981,,Archeologie,Loppersum,Groningen,Stedum,,,9920 AA,beschermd,6.689461978037,53.307450011186
#80ff80,small,,45982,,Archeologie,Loppersum,Groningen,Stedum,,,9920 AA,beschermd,6.66522464891,53.319859643549
#80ff80,small,,45998,,Archeologie,Coevorden,Drenthe,Schoonoord,,,7848 ZA,beschermd,6.773264739633,52.820191388591
#80ff80,small,,45999,,Archeologie,Coevorden,Drenthe,Sleen,,,7840 AA,beschermd,6.773397735905,52.813619770671
#80ff80,small,,46000,,Archeologie,Coevorden,Drenthe,Sleen,,,7840 AA,beschermd,6.786722842335,52.796593877559
#80ff80,small,,46001,,Archeologie,Coevorden,Drenthe,Sleen,,,7840 AA,beschermd,6.786478744201,52.794987917829
#80ff80,small,,46002,,Archeologie,Coevorden,Drenthe,Sleen,,,7840 AA,beschermd,6.797307341291,52.785458922546
#80ff80,small,,46018,,Archeologie,Terschelling,Friesland,Oosterend,,,8880 AA,beschermd,5.377886753638,53.402569087465
#80ff80,small,,46149,,Archeologie,Winsum,Groningen,Winsum,,,9950 AA,beschermd,6.468759831185,53.329821496829
#80ff80,small,,46150,,Archeologie,Winsum,Groningen,Winsum,,,9950 AA,beschermd,6.497910731706,53.323436247372
#80ff80,small,,46151,,Archeologie,Winsum,Groningen,Winsum,,,9950 AA,beschermd,6.507897785324,53.33118830759
#80ff80,small,,46152,,Archeologie,Winsum,Groningen,Winsum,,,9950 AA,beschermd,6.521894650186,53.31889894269
#80ff80,small,,46153,,Archeologie,Winsum,Groningen,Winsum,,,9950 AA,beschermd,6.524314530193,53.325867194585
#80ff80,small,,46154,,Archeologie,Winsum,Groningen,Winsum,,,9950 AA,beschermd,6.518587055728,53.325525854638
#80ff80,small,,46155,,Archeologie,Winsum,Groningen,Winsum,,,9950 AA,beschermd,6.510451018849,53.345056756402
#80ff80,small,,46156,,Archeologie,Winsum,Groningen,Winsum,,,9950 AA,beschermd,6.516782852565,53.331132107488
#80ff80,small,,46157,,Archeologie,Winsum,Groningen,Winsum,,,9950 AA,beschermd,6.503578246449,53.347546958179
#80ff80,small,,46158,,Archeologie,Winsum,Groningen,Winsum,,,9950 AA,beschermd,6.505279843663,53.349463119437
#80ff80,small,,46159,,Archeologie,Winsum,Groningen,Maarhuizen,,,9770 AA,beschermd,6.494123674285,53.34135321206
#80ff80,small,,46160,,Archeologie,Winsum,Groningen,Winsum,,,9950 AA,beschermd,6.558157215129,53.3329288145
#80ff80,small,,46190,,Archeologie,Tynaarlo,Drenthe,Zuidlaren,,,9470 AA,beschermd,6.692118517275,53.076814604895
