marker-color,marker-size,marker-symbol,NummerRijksmonument,NaamRijksmonument,SubCategorieMS,BouwjaarBegin,BouwjaarEind,Gemeente,Provincie,Plaats,Situering,Adres,Postcode,Status,long,lat
#0080ff,small,,15908,,Woonhuis,,,De Friese Meren,Friesland,Balk,,Raadhuisstraat 6,8561 BG,beschermd,5.582462079025,52.898553184861
#0080ff,small,,15909,,Woonhuis,,,De Friese Meren,Friesland,Balk,,Raadhuisstraat 9,8561 BG,beschermd,5.582253305948,52.89839177051
#0080ff,small,,15910,,Woonhuis,,,De Friese Meren,Friesland,Balk,,Raadhuisstraat 10,8561 BG,beschermd,5.582178842063,52.89835594649
#0080ff,small,,15911,,Woonhuis,,,De Friese Meren,Friesland,Balk,,Raadhuisstraat 11,8561 BG,beschermd,5.582089517684,52.898320146704
#0080ff,small,,14956,,Gerechtsgebouw,,,Emmen,Drenthe,Emmen,,Hoofdstraat 6,7811 EN,beschermd,6.897011321063,52.784003325225
#0080ff,small,,14958,,Kerk en kerkonderdeel,,,Emmen,Drenthe,Emmen,Bij,Schoolstraat 5,7811 XX,beschermd,6.894382474925,52.785151135681
#0080ff,small,,14959,,Boerderij,,,Emmen,Drenthe,Emmen,,Noordeind 21,7815 PB,beschermd,6.889438643677,52.793150033696
#0080ff,small,,14960,,Industrie- en poldermolen,,,Emmen,Drenthe,Emmen,,Hoofdkanaal WZ 109,7881 AE,beschermd,7.061768283901,52.821170185794
#0080ff,small,,14961,Emmerschans,"Fort, vesting en -onderdl",,,Emmen,Drenthe,Emmerschans,Bij,Rondweg 98,7825 TC,beschermd,6.950947288729,52.797436916634
#0080ff,small,,14962,,Industrie- en poldermolen,,,Emmen,Drenthe,Erica,,Verlengde Vaart ZZ 85,7887 EP,beschermd,6.926643120224,52.70886903409
#0080ff,small,,14963,,Kerk en kerkonderdeel,,,Emmen,Drenthe,Roswinkel,,Stad 24,7895 AB,beschermd,7.043714419327,52.839273126658
#0080ff,small,,14964,,Industrie- en poldermolen,,,Emmen,Drenthe,Weerdinge,,IJsspoorweg 32,7814 XA,beschermd,6.922531834254,52.819746330898
#0080ff,small,,14965,,Boerderij,,,Emmen,Drenthe,Weerdinge,,Dorpsstraat 69,7814 PV,beschermd,6.91077717766,52.815789632824
#0080ff,small,,14966,,Boerderij,,,Emmen,Drenthe,Westenesch,,Westenesscherstraat 88,7814 TB,beschermd,6.8749291014,52.785045132776
#0080ff,small,,14967,,Boerderij,,,Emmen,Drenthe,Zuidbarge,,Halvemaanweg 3,7825 TR,beschermd,6.902560522214,52.754155204119
#0080ff,small,,14968,Zeldenrust,Industrie- en poldermolen,,,Emmen,Drenthe,Zuidbarge,,Oranjekanaal NZ 7,7825 TK,beschermd,6.909123430792,52.749469550755
#0080ff,small,,15536,,Boerderij,,,Winsum,Groningen,Ezinge,,Allersmaweg 2,9891 BC,beschermd,6.442832938779,53.3094472595
#0080ff,small,,15537,Allersma,"Kasteel, buitenplaats",,,Winsum,Groningen,Ezinge,,Allersmaweg 64,9891 TD,beschermd,6.452855063703,53.319153484869
#0080ff,small,,15538,,Boerderij,,,Winsum,Groningen,Ezinge,,Nieuwestreek 89,9891 AC,beschermd,6.447903817672,53.304559175082
#0080ff,small,,15539,,Woonhuis,,,Winsum,Groningen,Ezinge,,Peperweg 3,9891 AK,beschermd,6.439901474199,53.309823426396
#0080ff,small,,15540,Boikemaheerd,Boerderij,,,Winsum,Groningen,Ezinge,,Schoorsterweg 4,9891 AR,beschermd,6.442453227282,53.310483978107
#0080ff,small,,15541,,Werk-woonhuis,,,Winsum,Groningen,Ezinge,,Torenstraat 5,9891 AE,beschermd,6.44145314922,53.309468358017
#0080ff,small,,15542,,Woonhuis,,,Winsum,Groningen,Ezinge,,Torenstraat 2,9891 AG,beschermd,6.441077991746,53.30885161835
#0080ff,small,,15543,,Woonhuis,,,Winsum,Groningen,Ezinge,,Torenstraat 4,9891 AG,beschermd,6.44094606714,53.308978578481
